2.00E-06	1.70E+01
4.00E-06	2.65E+01
1.40E-05	8.46E+01
2.40E-05	1.52E+02
3.40E-05	2.20E+02
4.40E-05	2.85E+02
5.40E-05	3.46E+02
6.40E-05	4.02E+02
7.40E-05	4.53E+02
8.40E-05	4.99E+02
9.40E-05	5.40E+02
1.04E-04	5.75E+02
1.14E-04	6.05E+02
1.24E-04	6.30E+02
1.34E-04	6.50E+02
1.44E-04	6.65E+02
1.54E-04	6.75E+02
1.64E-04	6.82E+02
1.74E-04	6.84E+02
1.84E-04	6.82E+02
1.94E-04	6.76E+02
2.04E-04	6.68E+02
2.14E-04	6.56E+02
2.24E-04	6.42E+02
2.34E-04	6.26E+02
2.44E-04	6.07E+02
2.54E-04	5.87E+02
2.64E-04	5.66E+02
2.74E-04	5.43E+02
2.84E-04	5.20E+02
2.94E-04	4.95E+02
3.04E-04	4.71E+02
3.14E-04	4.46E+02
3.24E-04	4.22E+02
3.34E-04	3.97E+02
3.44E-04	3.73E+02
3.54E-04	3.50E+02
3.64E-04	3.27E+02
3.74E-04	3.05E+02
3.84E-04	2.84E+02
3.94E-04	2.63E+02
4.04E-04	2.44E+02
4.14E-04	2.26E+02
4.24E-04	2.09E+02
4.34E-04	1.94E+02
4.44E-04	1.79E+02
4.54E-04	1.65E+02
4.64E-04	1.53E+02
4.74E-04	1.41E+02
4.84E-04	1.31E+02
